EAST, WEST, NORTH, SOUTH
L,T,TR,Total,L,T,TR,Total,L,T,R,Total,L,T,R,Total,Vehicle Total
8:10 AM,28,17,17,62,10,16,14,40,6,71,11,88,10,36,6,52,242
8:15 AM,16,31,15,62,12,22,10,44,3,72,20,95,10,32,6,48,249
8:20 AM,21,19,13,53,14,17,18,49,6,78,20,104,8,35,12,55,261
8:25 AM,18,19,14,51,11,13,17,41,7,72,9,88,15,47,15,77,257
8:30 AM,22,19,14,55,10,18,16,44,5,82,12,99,10,35,6,51,249
8:35 AM,22,26,15,63,2,22,19,43,5,94,17,116,12,54,10,76,298
8:40 AM,19,23,18,60,6,26,15,47,3,107,13,123,10,56,18,84,314
8:45 AM,16,25,18,59,9,17,22,48,7,83,24,114,14,18,4,36,257
8:50 AM,25,11,14,50,7,15,12,34,5,64,13,82,9,33,8,50,216
8:55 AM,23,33,23,79,7,18,14,39,9,51,9,69,9,45,6,60,247
9:00 AM,21,30,13,64,13,17,15,45,6,62,11,79,14,47,8,69,257
9:05 AM,22,31,21,74,10,17,19,46,5,63,5,73,12,36,10,58,251
9:10 AM,19,22,18,59,9,19,18,46,5,79,10,94,14,35,7,56,255
9:15 AM,14,16,13,43,10,18,13,41,2,51,8,61,15,48,11,74,219
9:20 AM,14,18,7,39,9,16,14,39,3,59,7,69,17,34,4,55,202
9:25 AM,18,14,10,42,4,17,14,35,2,59,8,69,13,31,4,48,194
9:30 AM,19,23,24,66,9,21,20,50,3,65,8,76,14,34,6,54,246
9:35 AM,8,17,10,35,4,16,14,34,4,52,14,70,11,38,8,57,196
9:40 AM,13,32,18,63,8,17,14,39,8,46,6,60,9,30,6,45,207
9:45 AM,14,19,14,47,7,18,12,37,2,69,7,78,19,68,9,96,258
9:50 AM,4,21,15,40,6,19,21,46,6,56,7,69,7,25,7,39,194
9:55 AM,17,14,15,46,6,17,11,34,5,66,18,89,22,41,6,69,238
10:00 AM,10,18,16,44,6,21,11,38,6,30,7,43,9,34,8,51,176
10:05 AM,12,13,12,37,4,16,25,45,3,69,11,83,8,41,10,59,224
10:10 AM,20,25,21,66,4,21,20,45,6,57,9,72,12,40,8,60,243
10:15 AM,13,16,14,43,2,14,9,25,4,41,13,58,16,52,10,78,204
10:20 AM,8,17,13,38,8,19,21,48,0,46,7,53,10,30,6,46,185
10:25 AM,10,16,8,34,11,14,11,36,4,47,6,57,15,48,11,74,201
10:30 AM,21,24,18,63,7,13,16,36,10,51,11,72,17,31,12,60,231
10:35 AM,13,15,10,38,7,15,17,39,2,56,11,69,7,59,12,78,224
10:40 AM,14,29,14,57,15,23,14,52,5,54,17,76,7,30,11,48,233
10:45 AM,9,23,14,46,9,16,19,44,6,40,11,57,19,48,7,74,221
10:50 AM,14,21,16,51,20,18,18,56,4,52,8,64,14,37,10,61,232
10:55 AM,11,11,9,31,11,16,12,39,4,49,10,63,14,41,11,66,199
11:00 AM,13,31,20,64,6,23,18,47,6,47,5,58,8,35,11,54,223
11:05 AM,14,18,8,40,17,21,12,50,4,29,8,41,23,50,8,81,212
11:10 AM,17,22,20,59,15,25,18,58,4,23,6,33,17,42,14,73,223
11:15 AM,15,22,11,48,10,20,26,56,4,41,9,54,25,60,9,94,252
11:20 AM,17,19,16,52,13,27,23,63,9,14,9,32,15,35,11,61,208
11:25 AM,13,18,6,37,10,15,26,51,10,14,11,35,16,57,11,84,207
11:30 AM,23,24,7,54,11,23,22,56,7,14,11,32,15,42,9,66,208
11:35 AM,14,17,1,32,9,22,26,57,6,9,8,23,22,62,12,96,208
11:40 AM,21,17,4,42,15,26,18,59,4,22,13,39,10,42,14,66,206
11:45 AM,16,14,6,36,11,14,18,43,7,22,13,42,22,50,13,85,206
11:50 AM,14,23,9,46,13,24,24,61,9,23,8,40,13,36,15,64,211
11:55 AM,13,15,5,33,15,26,32,73,1,43,11,55,26,67,14,107,268
12:00 PM,18,14,4,36,16,23,28,67,11,35,15,61,18,54,4,76,240
12:05 PM,10,4,5,19,5,27,26,58,3,23,8,34,18,60,10,88,199
12:10 PM,11,10,5,26,11,29,22,62,6,42,11,59,14,36,11,61,208
12:15 PM,15,16,4,35,10,20,28,58,4,34,14,52,27,54,14,95,240
12:20 PM,16,13,7,36,11,27,25,63,7,35,16,58,16,45,16,77,234
12:25 PM,5,9,2,16,17,25,23,65,8,17,7,32,24,68,15,107,220
12:30 PM,15,15,8,38,22,25,25,72,13,17,8,38,15,55,13,83,231
12:35 PM,14,20,4,38,14,21,25,60,2,25,7,34,22,70,16,108,240
12:40 PM,17,18,3,38,19,24,27,70,5,32,20,57,18,39,12,69,234
12:45 PM,10,12,8,30,16,30,29,75,3,41,12,56,26,54,13,93,254
12:50 PM,15,19,5,39,18,24,26,68,11,32,15,58,16,30,13,59,224
12:55 PM,8,12,5,25,12,25,33,70,6,31,9,46,19,58,15,92,233
1:00 PM,13,18,8,39,13,33,45,91,15,25,11,51,15,45,13,73,254
1:05 PM,11,16,4,31,9,22,30,61,7,40,11,58,22,66,16,104,254
1:10 PM,12,12,8,32,15,27,27,69,5,17,14,36,15,39,9,63,200
1:15 PM,12,7,6,25,17,26,24,67,3,29,11,43,24,69,17,110,245
1:20 PM,14,11,2,27,22,22,22,66,12,15,10,37,16,55,13,84,214
1:25 PM,11,10,9,30,13,23,19,55,8,26,9,43,26,51,14,91,219
1:30 PM,18,14,7,39,6,26,21,53,10,24,5,39,15,38,12,65,196
1:35 PM,11,12,6,29,14,30,36,80,6,33,8,47,25,66,17,108,264
1:40 PM,16,16,4,36,12,36,32,80,7,20,6,33,18,62,27,107,256
1:45 PM,14,24,10,48,14,18,24,56,7,39,11,57,20,78,14,112,273
1:50 PM,24,26,11,61,13,28,23,64,7,28,10,45,14,73,19,106,276
1:55 PM,13,21,11,45,9,23,20,52,12,18,9,39,16,73,20,109,245
2:00 PM,16,18,9,43,13,28,20,61,14,20,14,48,16,54,12,82,234
2:05 PM,13,15,6,34,14,23,29,66,7,26,10,43,28,80,16,124,267
2:10 PM,19,19,8,46,13,27,28,68,8,34,11,53,16,62,16,94,261
2:15 PM,13,14,5,32,14,23,17,54,11,57,11,79,27,90,12,129,294
2:20 PM,16,17,8,41,14,29,30,73,7,38,17,62,16,51,16,83,259
2:25 PM,12,15,6,33,18,25,24,67,8,57,15,80,23,67,15,105,285
2:30 PM,12,12,8,32,13,32,24,69,13,47,15,75,17,36,7,60,236
2:35 PM,3,18,7,28,7,22,22,51,5,48,13,66,23,10,9,42,187
2:40 PM,12,23,11,46,13,20,23,56,7,52,15,74,7,4,3,14,190
2:45 PM,9,14,10,33,14,15,17,46,4,64,7,75,6,4,3,13,167
2:50 PM,13,13,7,33,7,24,17,48,10,47,9,66,0,0,0,0,147
2:55 PM,14,13,7,34,8,17,22,47,13,35,6,54,0,0,0,0,135
3:00 PM,4,16,7,27,15,33,31,79,8,17,4,29,0,0,0,0,135
3:05 PM,10,11,4,25,11,15,17,43,8,38,7,53,1,4,2,7,128
3:10 PM,18,20,8,46,15,27,18,60,9,45,13,67,6,16,4,26,199
3:15 PM,11,19,9,39,18,30,28,76,7,40,7,54,16,26,5,47,216
3:20 PM,12,12,6,30,17,25,21,63,4,42,10,56,23,54,6,83,232
3:25 PM,12,13,14,39,18,27,25,70,13,28,15,56,16,33,3,52,217
3:30 PM,23,14,11,48,11,26,15,52,6,30,16,52,18,40,7,65,217
3:35 PM,11,18,9,38,15,29,30,74,6,29,12,47,24,57,10,91,250
3:40 PM,12,17,6,35,17,26,19,62,4,47,17,68,15,44,11,70,235
3:45 PM,8,16,3,27,20,21,26,67,7,53,6,66,17,39,14,70,230
3:50 PM,11,22,11,44,16,39,24,79,6,40,5,51,16,39,5,60,234
3:55 PM,11,18,11,40,9,27,16,52,8,47,8,63,25,56,5,86,241
4:00 PM,7,9,5,21,6,30,22,58,10,52,12,74,15,51,5,71,224
4:05 PM,15,16,6,37,12,27,13,52,5,43,12,60,19,27,7,53,202
4:10 PM,9,8,7,24,14,29,20,63,6,35,10,51,14,39,5,58,196
4:15 PM,11,16,9,36,14,25,21,60,4,42,13,59,13,48,12,73,228
4:20 PM,7,13,8,28,15,16,18,49,7,67,11,85,16,52,8,76,238
4:25 PM,16,20,11,47,14,24,18,56,11,38,11,60,16,40,8,64,227
4:30 PM,10,13,6,29,17,33,20,70,10,18,10,38,18,51,14,83,220
4:35 PM,9,12,7,28,6,18,18,42,9,50,10,69,20,61,13,94,233
4:40 PM,15,6,9,30,14,21,15,50,12,49,13,74,17,33,14,64,218
4:45 PM,13,21,8,42,21,34,30,85,8,37,3,48,13,45,9,67,242
4:50 PM,10,9,6,25,15,34,18,67,7,30,14,51,12,37,11,60,203
4:55 PM,10,15,7,32,11,24,20,55,11,38,9,58,3,21,9,33,178
5:00 PM,21,23,7,51,19,20,14,53,15,39,5,59,2,5,2,9,172
5:05 PM,14,21,14,49,10,29,22,61,9,38,6,53,0,0,0,0,163
5:10 PM,12,17,15,44,6,21,17,44,8,44,4,56,0,0,0,0,144
5:15 PM,13,14,11,38,12,16,14,42,11,34,8,53,0,0,0,0,133
5:20 PM,18,18,16,52,19,21,16,56,13,26,7,46,0,0,0,0,154
5:25 PM,16,16,12,44,10,23,10,43,7,59,6,72,0,0,0,0,159
5:30 PM,13,17,4,34,15,15,15,45,8,36,7,51,0,0,0,0,130
5:35 PM,9,14,5,28,5,25,12,42,11,28,6,45,0,0,0,0,115
5:40 PM,15,20,13,48,11,29,9,49,11,41,10,62,0,0,0,0,159
5:45 PM,13,15,7,35,10,20,11,41,8,37,3,48,0,0,0,0,124
5:50 PM,13,23,9,45,10,21,13,44,10,58,11,79,0,0,0,0,168
5:55 PM,19,15,12,46,5,21,12,38,12,46,2,60,0,0,0,0,144
6:00 PM,14,14,13,41,25,27,13,65,8,27,8,43,6,15,2,23,172
6:05 PM,7,15,9,31,1,21,10,32,9,56,11,76,15,6,3,24,163
6:10 PM,12,10,7,29,9,20,11,40,11,43,11,65,11,21,3,35,169
6:15 PM,13,22,10,45,13,21,15,49,10,45,9,64,8,11,0,19,177
6:20 PM,10,18,5,33,10,22,18,50,3,46,10,59,16,14,1,31,173
6:25 PM,10,13,6,29,5,19,13,37,3,55,9,67,12,5,5,22,155
6:30 PM,8,18,12,38,12,21,10,43,14,41,12,67,9,3,0,12,160
6:35 PM,13,28,16,57,11,29,19,59,8,29,9,46,6,5,2,13,175
6:40 PM,4,13,9,26,19,25,15,59,9,33,2,44,1,3,1,5,134
6:45 PM,12,20,6,38,8,18,8,34,11,31,6,48,2,4,2,8,128
6:50 PM,16,16,3,35,17,15,8,40,10,31,7,48,13,10,4,27,150
6:55 PM,8,26,5,39,19,25,19,63,11,27,9,47,7,7,0,14,163
7:00 PM,8,22,6,36,11,27,11,49,10,40,4,54,17,33,3,53,192
7:05 PM,8,8,6,22,8,23,16,47,6,36,6,48,22,44,3,69,186
7:10 PM,14,14,8,36,14,29,16,59,4,23,7,34,16,42,7,65,194
7:15 PM,9,8,5,22,10,14,16,40,6,28,8,42,20,32,17,69,173
7:20 PM,17,20,5,42,13,23,20,56,6,28,9,43,17,31,15,63,204
7:25 PM,12,5,4,21,7,21,13,41,5,34,5,44,24,44,11,79,185
7:30 PM,20,26,6,52,7,22,18,47,8,32,8,48,11,41,11,63,210
7:35 PM,11,14,9,34,14,15,15,44,5,37,2,44,20,41,9,70,192
7:40 PM,20,15,3,38,5,23,17,45,6,30,7,43,15,28,12,55,181
7:45 PM,11,15,6,32,7,15,18,40,6,33,6,45,16,54,6,76,193
7:50 PM,16,18,10,44,10,16,14,40,4,26,3,33,11,40,20,71,188
7:55 PM,13,17,10,40,9,19,13,41,4,29,9,42,23,44,8,75,198
