EAST, WEST, NORTH, SOUTH
L,T,R,Total,L,T,R,Total,L,T,R,Total,L,T,R,Total,Vehicle Total
7:45 AM,15,43,10,68,21,87,28,136,31,64,6,101,38,69,15,122,427
7:50 AM,25,127,5,157,24,109,28,161,22,65,12,99,30,75,7,112,529
7:55 AM,14,81,14,109,15,78,24,117,29,67,8,104,35,98,10,143,473
8:00 AM,32,84,10,126,25,94,29,148,14,56,9,79,29,68,11,108,461
8:05 AM,23,58,10,91,8,65,19,92,22,43,12,77,39,77,16,132,392
8:10 AM,21,98,14,133,17,81,25,123,18,38,16,72,25,43,11,79,407
8:15 AM,15,70,8,93,15,52,18,85,17,42,8,67,42,62,3,107,352
8:20 AM,22,99,7,128,15,78,19,112,6,38,7,51,20,62,11,93,384
8:25 AM,11,64,7,82,7,40,16,63,16,52,8,76,37,69,6,112,333
8:30 AM,16,95,9,120,16,106,20,142,9,30,5,44,30,43,6,79,385
8:35 AM,6,69,11,86,9,41,14,64,15,58,3,76,45,64,7,116,342
8:40 AM,14,100,8,122,17,90,21,128,16,50,6,72,25,52,12,89,411
8:45 AM,16,64,4,84,14,61,17,92,15,66,8,89,37,73,10,120,385
8:50 AM,15,100,11,126,19,77,26,122,13,47,7,67,23,55,8,86,401
8:55 AM,17,61,7,85,15,48,22,85,20,70,5,95,38,83,11,132,397
9:00 AM,18,103,3,124,20,71,28,119,14,41,7,62,24,57,9,90,395
9:05 AM,13,65,10,88,12,60,12,84,17,56,6,79,34,72,10,116,367
9:10 AM,17,121,9,147,23,93,18,134,13,42,6,61,27,52,14,93,435
9:15 AM,18,80,8,106,11,60,10,81,21,61,14,96,31,81,15,127,410
9:20 AM,17,86,5,108,19,86,31,136,12,53,10,75,24,43,16,83,402
9:25 AM,7,36,4,47,22,49,13,84,16,44,9,69,24,86,18,128,328
9:30 AM,20,68,5,93,16,64,15,95,13,47,15,75,17,43,9,69,332
9:35 AM,10,73,5,88,14,54,21,89,5,45,5,55,47,76,21,144,376
9:40 AM,8,91,11,110,9,57,15,81,16,41,10,67,25,47,7,79,337
9:45 AM,12,56,10,78,6,43,15,64,20,47,6,73,30,70,6,106,321
9:50 AM,23,72,8,103,15,59,16,90,18,34,4,56,19,54,8,81,330
9:55 AM,17,66,6,89,13,42,18,73,10,38,17,65,29,72,15,116,343
10:00 AM,8,58,8,74,5,66,17,88,19,44,9,72,22,40,8,70,304
10:05 AM,16,60,6,82,7,42,12,61,10,38,8,56,20,74,15,109,308
10:10 AM,20,75,12,107,23,62,17,102,13,49,10,72,11,55,9,75,356
10:15 AM,19,37,11,67,7,45,10,62,10,50,11,71,33,56,5,94,294
10:20 AM,15,50,17,82,22,70,18,110,11,38,11,60,16,37,10,63,315
10:25 AM,17,30,11,58,16,47,10,73,14,56,8,78,23,70,20,113,322
10:30 AM,20,54,12,86,15,60,21,96,22,55,1,78,13,58,4,75,335
10:35 AM,11,54,6,71,15,45,11,71,16,52,7,75,16,72,3,91,308
10:40 AM,14,48,16,78,15,60,19,94,23,56,7,86,15,61,7,83,341
10:45 AM,17,41,14,72,5,44,13,62,20,44,12,76,31,46,14,91,301
10:50 AM,18,37,6,61,15,66,13,94,15,56,7,78,11,46,8,65,298
10:55 AM,14,52,20,86,10,50,18,78,17,38,13,68,27,80,16,123,355
11:00 AM,10,55,18,83,15,47,21,83,11,33,14,58,18,42,10,70,294
11:05 AM,20,30,11,61,13,57,14,84,14,62,8,84,25,58,7,90,319
11:10 AM,21,44,19,84,14,55,16,85,16,51,7,74,19,36,13,68,311
11:15 AM,20,44,18,82,11,26,10,47,10,47,9,66,16,82,13,111,306
11:20 AM,17,51,19,87,29,69,16,114,16,36,16,68,13,64,15,92,361
11:25 AM,18,70,23,111,14,55,19,88,14,41,12,67,30,81,15,126,392
11:30 AM,12,45,26,83,22,67,14,103,13,34,7,54,12,65,12,89,329
11:35 AM,12,50,18,80,23,49,27,99,11,53,12,76,24,79,15,118,373
11:40 AM,14,35,20,69,24,63,21,108,19,52,9,80,23,48,10,81,338
11:45 AM,25,49,14,88,19,46,22,87,22,52,18,92,26,74,12,112,379
11:50 AM,20,46,16,82,21,63,27,111,20,63,17,100,26,57,15,98,391
11:55 AM,28,25,5,58,9,45,24,78,27,82,14,123,31,78,8,117,376
12:00 PM,28,54,9,91,22,61,18,101,17,69,10,96,6,49,9,64,352
12:05 PM,28,29,15,72,25,51,13,89,19,87,11,117,37,93,14,144,422
12:10 PM,26,57,16,99,25,63,19,107,19,84,12,115,16,72,13,101,422
12:15 PM,22,36,14,72,21,53,22,96,21,79,12,112,27,102,13,142,422
12:20 PM,23,56,22,101,25,66,31,122,20,67,11,98,21,75,16,112,433
12:25 PM,14,50,12,76,19,49,19,87,21,72,17,110,29,93,22,144,417
12:30 PM,28,69,17,114,31,85,20,136,16,71,16,103,24,63,12,99,452
12:35 PM,21,44,17,82,17,52,22,91,13,76,9,98,36,87,13,136,407
12:40 PM,21,80,22,123,26,66,24,116,30,58,13,101,16,67,14,97,437
12:45 PM,21,45,14,80,19,51,15,85,23,73,13,109,24,68,17,109,383
12:50 PM,30,63,15,108,22,71,21,114,18,57,13,88,26,70,15,111,421
12:55 PM,25,45,14,84,20,51,6,77,26,72,16,114,37,95,18,150,425
1:00 PM,20,66,13,99,31,54,28,113,35,71,10,116,23,67,15,105,433
1:05 PM,23,55,12,90,19,56,18,93,23,81,14,118,33,82,13,128,429
1:10 PM,31,64,8,103,27,77,28,132,17,67,15,99,25,57,24,106,440
1:15 PM,22,44,12,78,7,57,24,88,29,82,15,126,34,79,21,134,426
1:20 PM,18,61,14,93,17,78,29,124,26,45,13,84,25,52,19,96,397
1:25 PM,19,42,14,75,18,54,19,91,23,72,26,121,22,80,15,117,404
1:30 PM,27,64,19,110,26,93,22,141,15,65,11,91,21,53,13,87,429
1:35 PM,26,61,12,99,14,51,16,81,17,85,15,117,21,75,18,114,411
1:40 PM,24,65,19,108,33,67,21,121,17,71,13,101,21,42,18,81,411
1:45 PM,19,46,13,78,16,48,24,88,27,68,10,105,37,76,19,132,403
1:50 PM,36,72,22,130,20,69,33,122,23,76,9,108,19,42,9,70,430
1:55 PM,21,72,9,102,16,58,18,92,26,90,4,120,32,75,17,124,438
2:00 PM,30,52,15,97,20,87,24,131,27,63,12,102,26,50,12,88,418
2:05 PM,29,62,7,98,10,63,24,97,22,54,11,87,36,85,19,140,422
2:10 PM,33,100,18,151,22,81,31,134,20,69,12,101,19,55,10,84,470
2:15 PM,24,40,17,81,11,63,22,96,34,66,24,124,24,91,17,132,433
2:20 PM,26,86,13,125,31,91,22,144,29,51,19,99,28,53,14,95,463
2:25 PM,22,50,13,85,19,57,22,98,34,56,16,106,33,87,18,138,427
2:30 PM,25,78,15,118,35,111,27,173,27,68,9,104,20,55,25,100,495
2:35 PM,25,63,16,104,19,64,23,106,20,64,10,94,30,66,18,114,418
2:40 PM,17,47,12,76,37,92,22,151,19,68,5,92,15,38,17,70,389
2:45 PM,23,57,8,88,15,69,18,102,18,103,16,137,38,106,26,170,497
2:50 PM,26,84,20,130,23,86,27,136,30,87,12,129,25,36,25,86,481
2:55 PM,27,66,14,107,15,45,23,83,23,82,14,119,37,80,20,137,446
3:00 PM,29,83,21,133,24,63,22,109,25,85,10,120,21,72,14,107,469
3:05 PM,26,59,16,101,30,70,30,130,31,85,17,133,29,76,18,123,487
3:10 PM,20,73,16,109,19,81,21,121,25,70,18,113,31,76,26,133,476
3:15 PM,16,94,12,122,26,87,23,136,21,58,11,90,28,90,15,133,481
3:20 PM,32,75,18,125,21,68,24,113,13,56,10,79,23,86,10,119,436
3:25 PM,33,61,18,112,26,89,29,144,25,48,16,89,42,91,16,149,494
3:30 PM,28,56,14,98,15,81,27,123,26,48,13,87,24,82,24,130,438
3:35 PM,30,79,19,128,25,94,25,144,27,57,11,95,30,83,16,129,496
3:40 PM,26,57,17,100,23,88,36,147,30,72,17,119,20,80,25,125,491
3:45 PM,26,71,20,117,32,104,30,166,26,73,10,109,35,85,14,134,526
3:50 PM,28,59,3,90,13,109,20,142,30,75,15,120,23,87,23,133,485
3:55 PM,29,60,16,105,29,69,19,117,28,69,19,116,32,71,16,119,457
4:00 PM,29,76,6,111,25,90,24,139,24,61,6,91,19,71,9,99,440
4:05 PM,26,83,14,123,24,94,27,145,25,86,28,139,31,58,8,97,504
4:10 PM,25,56,24,105,29,92,24,145,8,49,12,69,32,69,14,115,434
4:15 PM,30,81,17,128,21,93,30,144,18,67,13,98,23,80,8,111,481
4:20 PM,26,67,12,105,27,99,39,165,16,73,13,102,33,77,9,119,491
4:25 PM,32,77,14,123,16,67,22,105,26,69,15,110,23,81,13,117,455
4:30 PM,22,90,20,132,19,56,25,100,24,67,19,110,31,71,10,112,454
4:35 PM,32,64,14,110,17,79,26,122,31,80,9,120,42,75,10,127,479
4:40 PM,28,91,11,130,23,54,34,111,26,71,18,115,22,61,15,98,454
4:45 PM,30,77,19,126,23,67,28,118,19,89,13,121,35,53,7,95,460
4:50 PM,28,68,19,115,11,79,33,123,24,51,21,96,42,69,12,123,457
4:55 PM,26,59,13,98,23,63,27,113,21,63,6,90,35,33,5,73,374
5:00 PM,28,50,16,94,18,67,26,111,22,96,6,124,0,0,0,0,329
5:05 PM,29,66,13,108,13,77,30,120,24,85,15,124,3,1,2,6,358
5:10 PM,30,76,22,128,34,105,28,167,23,77,9,109,2,0,7,9,413
5:15 PM,29,67,6,102,26,81,30,137,23,81,14,118,1,0,1,2,359
5:20 PM,30,67,13,110,29,80,36,145,15,90,15,120,1,0,1,2,377
5:25 PM,32,60,10,102,13,101,37,151,16,79,17,112,0,0,2,2,367
5:30 PM,27,97,28,152,26,99,38,163,20,82,11,113,2,0,5,7,435
5:35 PM,31,48,14,93,20,83,41,144,25,82,16,123,4,1,4,9,369
5:40 PM,22,62,11,95,20,72,26,118,25,93,16,134,8,12,4,24,371
5:45 PM,30,67,17,114,20,70,27,117,21,66,20,107,17,24,14,55,393
5:50 PM,22,62,16,100,18,62,34,114,24,64,9,97,13,32,13,58,369
5:55 PM,28,75,22,125,21,68,30,119,16,52,11,79,17,25,8,50,373
6:00 PM,27,63,20,110,11,50,19,80,24,56,18,98,13,43,7,63,351
6:05 PM,31,65,20,116,23,60,23,106,25,62,14,101,16,50,10,76,399
6:10 PM,21,63,15,99,22,83,23,128,16,50,7,73,17,46,6,69,369
6:15 PM,27,61,22,110,15,71,23,109,24,71,15,110,16,51,10,77,406
6:20 PM,18,58,17,93,12,53,20,85,27,73,14,114,12,44,10,66,358
6:25 PM,15,84,15,114,16,66,30,112,22,56,23,101,16,59,6,81,408
6:30 PM,17,85,25,127,17,82,28,127,20,36,9,65,9,23,3,35,354
6:35 PM,16,48,19,83,16,50,19,85,22,72,15,109,10,50,4,64,341
6:40 PM,12,91,25,128,23,78,30,131,25,70,13,108,12,27,3,42,409
6:45 PM,14,62,17,93,10,58,13,81,19,73,18,110,21,48,12,81,365
6:50 PM,8,79,19,106,13,73,11,97,23,68,15,106,16,42,6,64,373
6:55 PM,17,57,18,92,10,45,22,77,26,67,14,107,24,57,9,90,366
7:00 PM,18,85,14,117,13,70,18,101,21,59,14,94,18,40,11,69,381
7:05 PM,23,40,13,76,18,43,18,79,28,72,10,110,24,65,6,95,360
7:10 PM,25,74,16,115,22,82,18,122,16,38,19,73,18,52,5,75,385
7:15 PM,20,53,19,92,12,41,14,67,22,70,24,116,21,64,19,104,379
7:20 PM,13,49,11,73,17,71,13,101,22,68,14,104,19,30,8,57,335
7:25 PM,17,50,6,73,15,41,13,69,22,76,14,112,26,48,11,85,339
7:30 PM,14,49,17,80,14,64,16,94,22,74,10,106,12,46,5,63,343
7:35 PM,9,39,9,57,12,39,14,65,20,56,17,93,16,62,5,83,298
7:40 PM,10,39,13,62,10,58,16,84,19,62,19,100,16,42,7,65,311
7:45 PM,8,51,9,68,15,33,8,56,20,67,16,103,16,46,7,69,296
7:50 PM,16,44,14,74,23,46,12,81,18,60,11,89,17,47,12,76,320
7:55 PM,20,47,6,73,12,27,15,54,10,50,15,75,17,53,7,77,279
